Время,"Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
2019-06-03 - 2019-06-09,2977054,0.0016764223,26509152,0.0149276882,710513780,0.40010062,1015040776,0.5715841905,20796976,0.011711079
2019-06-10 - 2019-06-16,2756481,0.0015812423,25219336,0.0144669533,702912542,0.4032224685,992158961,0.5691473142,20190215,0.0115820217
2019-06-17 - 2019-06-23,2751957,0.0016022095,25306300,0.0147335134,696588121,0.4055587124,973148736,0.5665743306,19806061,0.011531234
2019-06-24 - 2019-06-30,2817381,0.0016196022,26148170,0.0150315609,699200680,0.4019431421,990850581,0.5696012708,20534400,0.011804424
2019-07-01 - 2019-07-07,2722988,0.0015899549,24885978,0.014530943,691470153,0.4037499915,972764358,0.5679979094,20776133,0.0121312012
2019-07-08 - 2019-07-14,2743793,0.0016105787,24436008,0.0143436894,687640274,0.403637882,967515142,0.5679215972,21271666,0.0124862527
2019-07-15 - 2019-07-21,2730761,0.001615791,24080541,0.0142484539,682742902,0.4039789137,959306900,0.5676218065,21184784,0.0125350348
2019-07-22 - 2019-07-28,2705031,0.0016130552,23676112,0.0141184611,682150461,0.4067777167,947436737,0.5649723553,20992891,0.0125184116
2019-07-29 - 2019-08-04,2699426,0.0015775196,24274879,0.0141860152,695611121,0.4065087185,967426951,0.5653553806,21171392,0.0123723661
2019-08-05 - 2019-08-11,2698713,0.0015857374,24347666,0.0143064505,693612983,0.4075602067,959840784,0.5639930594,21366159,0.0125545461
2019-08-12 - 2019-08-18,2554423,0.0015080028,24284992,0.0143366371,692649986,0.4089056943,952998262,0.5626022145,21423661,0.0126474513
2019-08-19 - 2019-08-25,2534099,0.001494568,24626692,0.0145243997,689300802,0.4065377663,957996164,0.5650096729,21081647,0.0124335931
2019-08-26 - 2019-09-01,2621658,0.0015348819,24709558,0.0144665143,689445708,0.4036444587,969889076,0.5678334734,21385958,0.0125206718
2019-09-02 - 2019-09-08,2600613,0.0014600309,25449486,0.0142877988,723050126,0.4059333353,1008578399,0.5662340392,21525488,0.0120847958
2019-09-09 - 2019-09-15,2663501,0.0014265876,26572528,0.0142324101,763826867,0.409110386,1052323502,0.563630965,21657053,0.0115996513
2019-09-16 - 2019-09-22,2846654,0.00147171,27655828,0.0142979648,786643912,0.4066921071,1094858187,0.5660377919,22244691,0.0115004262
2019-09-23 - 2019-09-29,2946402,0.0015138823,27934386,0.0143528865,784224263,0.4029400121,1108643050,0.5696286955,22507519,0.0115645236
2019-09-30 - 2019-10-06,2887923,0.0014762261,27496642,0.0140555205,784056388,0.4007878731,1119436276,0.5722247672,22410475,0.0114556131
2019-10-07 - 2019-10-13,2852632,0.0014241754,28112132,0.0140349706,804276851,0.4015348955,1145277003,0.5717790847,22487497,0.0112268739
2019-10-14 - 2019-10-20,2869889,0.0014111592,28611642,0.0140686906,816522051,0.4014937745,1163333429,0.5720251263,22373355,0.0110012494
2019-10-21 - 2019-10-27,2865689,0.0014027821,29129436,0.0142591366,817876292,0.4003582415,1170495240,0.5729685779,22494479,0.0110112619
2019-10-28 - 2019-11-03,2763761,0.0014034525,28243482,0.0143421901,788275969,0.4002907211,1127721534,0.5726629807,22253914,0.0113006556
2019-11-04 - 2019-11-10,2683756,0.0013379892,27856825,0.0138880479,800306879,0.398993793,1152406788,0.5745335539,22558607,0.011246616
2019-11-11 - 2019-11-17,2843844,0.0013529304,29616246,0.0140896335,835929094,0.3976849252,1209971422,0.5756318303,23627780,0.0112406806
2019-11-18 - 2019-11-24,2894590,0.0013734472,29648394,0.0140677968,834049037,0.395745967,1216948810,0.5774271803,23995585,0.0113856087
